name,abbrev,category,metric,value,index
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,total,crps,21.736851717,0
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,year,crps,21.736851717,2020
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,month,crps,12.6661570689,Jan
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,month,crps,12.7442304627,Feb
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,month,crps,31.3837396949,Mar
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,month,crps,30.2976163347,Apr
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,month,crps,19.4856097666,May
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,month,crps,17.8235087772,Jun
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,31.274393773,10
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,33.4208595245,11
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,34.9100413344,12
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,34.444292546,13
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,28.6921428528,14
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,21.1773328071,15
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,12.4048470904,16
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,5.4373068691,17
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,0.9275963218,18
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,0.1612476526,4
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,2.4702969514,5
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,8.1669109752,6
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,13.8986593109,7
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,22.4869496429,8
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,hour,crps,31.7169012117,9
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,43.802346805,2020-01-01
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,9.8947743425,2020-01-02
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,17.54810269,2020-01-03
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,18.5729335075,2020-01-04
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,7.333993625,2020-01-05
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-01-06
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,24.7408560075,2020-01-07
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,1.8818201575,2020-01-08
